"","X","abv","ibu","id","name","style","brewery_id","ounces"
"271",917,0.042,18,2201,"312 Urban Wheat Ale","American Pale Wheat Ale",88,16
"272",918,0.042,18,1829,"312 Urban Wheat Ale","American Pale Wheat Ale",88,12
"273",919,0.042,20,581,"312 Urban Wheat Ale (2012)","American Pale Wheat Ale",88,12
"274",925,0.043,21,2129,"Monarch Classic American Wheat","American Pale Wheat Ale",213,12
"275",927,0.055,35,2126,"Lakefire Rye Pale Ale","American Pale Ale (APA)",213,12
"276",928,0.053,22,2303,"Beer Agent Re-Ignition","American Blonde Ale",165,16
"277",931,0.062,60,1701,"Great Crescent IPA","American IPA",165,16
"278",933,0.053,22,1699,"Great Crescent Blonde Ale","American Blonde Ale",165,16
"279",946,0.062,60,436,"Great Crescent IPA (2011)","American IPA",165,16
"280",947,0.053,22,389,"Great Crescent Blonde Ale (2011)","American Blonde Ale",165,16
"281",959,0.052,49,1923,"Commotion APA","American Pale Ale (APA)",269,12
"282",970,0.053,48,863,"483 Pale Ale","American Pale Ale (APA)",365,16
"283",973,0.07,70,540,"Big Cock IPA","American IPA",365,16
"284",975,0.048,25,517,"40th Annual Bix Street Fest Copper Ale (Current)","American Amber / Red Ale",365,16
"285",977,0.053,48,190,"483 Pale Ale (2010)","American Pale Ale (APA)",365,16
"286",979,0.05,30,1106,"Pablo Beach Pale Ale","American Pale Ale (APA)",466,12
"287",980,0.057,44,2314,"Wild Trail Pale Ale","American Pale Ale (APA)",156,12
"288",983,0.085,69,2044,"Captain's Daughter","American Double / Imperial IPA",86,12
"289",985,0.06,54,1505,"Flying Jenny Extra Pale Ale","American Pale Ale (APA)",379,12
"290",989,0.06,54,693,"Flying Jenny Extra Pale Ale (2012)","American Pale Ale (APA)",379,12
"291",991,0.045,6,2375,"Mr. Blue Sky","American Pale Wheat Ale",124,16
"292",995,0.065,25,2140,"El Rojo","American Amber / Red Ale",124,16
"293",997,0.05,35,2138,"Grind Line","American Pale Ale (APA)",124,16
"294",998,0.04,55,2007,"Norm's Gateway IPA","American IPA",124,12
"295",1001,0.069,67,1857,"Supergoose IPA","American IPA",290,12
"296",1011,0.07,40,2026,"Pursuit","American IPA",248,12
"297",1012,0.052,18,1361,"Half Full Bright Ale","American Blonde Ale",248,12
"298",1015,0.075,70,1677,"The Great Return","American IPA",343,16
"299",1017,0.056,55,1270,"Capital Trail Pale Ale","American Pale Ale (APA)",343,12
"300",1022,0.059,42,1379,"Harpoon IPA","American IPA",234,12
"301",1025,0.059,42,770,"Harpoon IPA (2012)","American IPA",234,12
"302",1027,0.048,10,610,"UFO White","American Pale Wheat Ale",234,12
"303",1029,0.059,42,126,"Harpoon IPA (2010)","American IPA",234,12
"304",1039,0.088,77,1893,"Hill 88 Double IPA","American Double / Imperial IPA",280,16
"305",1040,0.072,45,990,"Loose Cannon","American IPA",479,12
"306",1044,0.08,86,1346,"Habitus IPA","American IPA",423,16
"307",1047,0.07,68,2294,"The Power of Zeus","American Pale Ale (APA)",168,12
"308",1048,0.044,22,824,"Tonganoxie Honey Wheat","American Pale Wheat Ale",500,12
"309",1051,0.045,32,1615,"The 12th Can™","American Pale Ale (APA)",362,16
"310",1053,0.049,20,724,"Hilliard's Blonde","American Blonde Ale",362,16
"311",1054,0.055,60,497,"Hilliard's Amber Ale","American Amber / Red Ale",362,16
"312",1059,0.058,45,1833,"Hop Farm IPA","American IPA",297,12
"313",1060,0.049,20,2195,"Double D Blonde","American Blonde Ale",198,12
"314",1062,0.063,70,1543,"Proxima IPA","American IPA",198,12
"315",1063,0.049,20,1390,"Double D Blonde (2013)","American Blonde Ale",198,12
"316",1065,0.065,90,1353,"Alphadelic IPA","American IPA",198,12
"317",1066,0.065,90,499,"Alphadelic IPA (2011)","American IPA",198,12
"318",1067,0.049,20,498,"Double D Blonde (2011)","American Blonde Ale",198,12
"319",1071,0.06,50,501,"Pale Dog","American Pale Ale (APA)",395,12
"320",1075,0.039,20,2400,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"321",1076,0.039,20,2399,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"322",1077,0.039,20,2398,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"323",1078,0.039,20,2397,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"324",1079,0.039,20,2396,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"325",1080,0.039,20,2395,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"326",1081,0.039,20,2394,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"327",1082,0.039,20,2393,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"328",1083,0.039,20,2392,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"329",1084,0.039,20,2391,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"330",1085,0.039,20,2390,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"331",1086,0.039,20,2389,"Nonstop Hef Hop","American Pale Wheat Ale",80,16
"332",1087,0.058,60,2388,"Rise Up Red","American Amber / Red Ale",80,16
